URL,ID,title,atrributes:Model,atrributes:all_values
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/backhoes/backhoe-loader-14-ft-dig-depth-60-90-hp-4wd,902-1020,"Backhoe Loader, 14 ft. Dig Depth, 60-90 HP, 4WD",{'Model Number': '310L EP'},"{'Manufacturer': 'John Deere', 'Horsepower': '72 p', 'Digging Depth': '14\' 1""', 'Reach From Swing Center': '17\' 9""', 'Backhoe Bucket Digging Force': '10,844 lbs.', 'Backhoe Dump Height': '11\' 1""', 'Backhoe Boom Lift Capacity G.L.': '2,258 lbs.', '24"" Standard Backhoe Bucket Capacity': '6.5 cu. ft.', '82"" Standard Loader Bucket Capacity': '1 cu. yd.', 'Breakout Force': '9,361 lbs.', 'Loader Dump Clearance': ""9'"", 'Loader Dump Reach': '27.7""', 'Operating Weight': '13,822 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/backhoes/backhoe-loader-17-ft-dig-depth-4wd,902-1100,"Backhoe Loader, 17 ft. Dig Depth, 4WD",{'Model Number': '310L EP EXT'},"{'Manufacturer': 'John Deere', 'Horsepower': '72 p', 'Digging Depth': '17\' 10""', 'Reach From Swing Center': '21\' 4""', 'Backhoe Bucket Digging Force': '10,844 lbs.', 'Backhoe Dump Height': '13\' 6""', 'Backhoe Boom Lift Capacity G.L.': '1,937 lbs.', '24"" Standard Backhoe Bucket Capacity': '6.5 cu. ft.', '82"" Standard Loader Bucket Capacity': '1 cu. yd.', 'Breakout Force': '9,361 lbs.', 'Loader Dump Clearance': ""9'"", 'Loader Dump Reach': '27.7""', 'Operating Weight': '14,669 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/mini-excavators/mini-excavator-15-2-tons,907-0035,"Mini Excavator, 1.5-2 tons",{'Model Number': 'TB216'},"{'Manufacturer': 'Takeuchi', 'Operating Weight': '3,902 lbs.', 'Digging Depth': '7\' 10""', 'Bucket Dig Force': '4,250 lbs.', 'Max Reach G.L.': '13\' 2.9""', 'Max Dump Height': '8\' 10.5""', 'Blade Size': '38.6"" x 51.2""', 'Boom Swing': '80 deg. L / 50- deg. R', 'Tail Swing': '3\' 9.4""', 'Power': '15 hp', 'W x H': '38.6"" x 7\' 5.8""'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/mini-excavators/mini-excavator-3-35-tons,907-0062,"Mini Excavator, 3-3.5 tons",{'Model Number': 'TB230'},"{'Manufacturer': 'Takeuchi', 'Operating Weight': '6,360 lbs.', 'Digging Depth': '9\' 3.6""', 'Bucket Dig Force': '6,471 l', 'Max Reach G.L.': '15\' 5.4""', 'Max Dump Height': '10\' 7.2""', 'Blade Size': '4\' 9.5"" x 14""', 'Boom Swing': '78 deg. L / 58 deg. R', 'Tail Swing': '4\' 11.2""', 'Power': '24.4 hp', 'W x H': '4\' 9.5"" x 8\' 3.9""'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/mini-excavators/mini-excavator-35-5-tons,907-0075,"Mini Excavator, 3.5-5 tons",{'Model Number': 'TB235-2'},"{'Manufacturer': 'Takeuchi', 'Operating Weight': '7,418 lbs.', 'Digging Depth': '10\' 7.8""', 'Bucket Dig Force': '9,127 lbs.', 'Max Reach G.L.': '16\' 10""', 'Max Dump Height': '11\' 9.5""', 'Blade Size': '5\' 2.2"" x 15.6""', 'Boom Swing': '70 deg. L / 55 deg. R', 'Tail Swing': '4\' 4.4""', 'Power': '24.4 hp', 'W x H': '5\' 2.2"" x 8\' 2,8""'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/mini-excavators/mini-excavator-5-6-tons,907-0100,"Mini Excavator, 5-6 tons",{'Model Number': 'TB260'},"{'Manufacturer': 'Takeuchi', 'Operating Weight': '12,125 lbs.', 'Digging Depth': '12\' 9.4""', 'Bucket Dig Force': '12,756 lbs.', 'Max Reach G.L.': '20\' 1.4""', 'Max Dump Height': '13\' 10.1""', 'Blade Size': '6\' 6.7"" x 1\' 5""', 'Boom Swing': '78 deg. L / 58 deg. R', 'Tail Swing': '6\' 5.8""', 'Power': '47.6 hp', 'W X H': '6\' 6.7"" x 8\' 5.4""'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/mini-excavators/mini-excavator-7-9-tons,907-0114,"Mini Excavator, 7-9 tons",{'Model Number': 'TB290'},"{'Manufacturer': 'Takeuchi', 'Operating Weight': '18,630 lbs.', 'Digging Depth': ""15'"", 'Bucket Dig Force': '16,565 lbs.', 'Max Reach G.L.': '23\' 11""', 'Max Dump Height': '17\' 3""', 'Blade Size': '7\' 7"" x 1\' 8""', 'Boom Swing': '70 deg. L / 60 deg. R', 'Tail Swing': '6\' 8""', 'Power': '69,2 hp', 'W X H': '7\' 7"" x 8\' 5""'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/trenchers/ride-trencher-60-32-50-hp,930-1350,"Ride-on Trencher, 60 in., 32-50 HP",{'Model Number': 'RT45'},"{'Manufacturer': 'Ditch Witch', 'Trench Depth Max.': '63""', 'Trench Width': '6 - 12""', 'Backfill Blade': '64""', 'Blade Drop': '8""', 'Power': '48.8 hp', 'Weight': '4,200 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/skid-steer-loader-1351-1699-lbs,903-0045,"Skid Steer Loader, 1,351-1,699 lbs.",{'Model Number': 'S510'},"{'Manufacturer': 'Bobcat', 'Engine (Diesel)': '49 hp', 'Rated Operating Capacity (SAE)': '1,650 lbs.', 'Lift Path': 'Radius', 'Tipping Load': '3,300 lbs.', 'Operating Weight': '6,213 lbs.', 'Travel Speed': '7.4 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/skid-steer-loader-1700-1899-lbs,903-0071,"Skid Steer Loader, 1,700-1,899 lbs.",{'Model Number': 'S550'},"{'Manufacturer': 'Bobcat', 'Engine (Diesel)': '61 hp', 'Rated Operating Capacity (SAE)': '1,750 lbs.', 'Lift Path': 'Radius', 'Tipping Load': '3,500 lbs.', 'Operating Weight': '6,213 lbs.', 'Travel Speed': '7.4 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/skid-steer-loader-small-under-851-lbs,903-0015,"Skid Steer Loader, Small, Under 851 lbs.",{'Model Number': 'S70'},"{'Manufacturer': 'Bobcat', 'Engine (Diesel)': '23.5 hp', 'Rated Operating Capacity (SAE)': '700 lbs.', 'Lift Path': 'Radius', 'Tipping Load': '1,512 lbs.', 'Operating Weight': '2,795 lbs.', 'Travel Speed': '6.1 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/track-loader-large-2800-4107-lbs,903-0590,"Track Loader, Large, 2,800-4,107 lbs.",{'Model Number': 'TL12R2'},"{'Manufacturer': 'Takeuchi', 'Engine (Diesel)': '111.3 hp', 'Rated Operating Capacity (SAE)': '2,975 lbs.', 'Lift Path': 'Radius', 'Tipping Load': '8,629 lbs.', 'Operating Weight': '12,300 lbs.', 'Travel Speed': '7.3 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/track-loader-small-1300-1699-lbs,903-0561,"Track Loader, Small, 1,300-1,699 lbs.",{'Model Number': 'T450'},"{'Manufacturer': 'Bobcat', 'Engine (Diesel)': '61.1 hp', 'Rated Operating Capacity (SAE)': '1,400 lbs.', 'Lift Path': 'Radius', 'Tipping Load': '4,000 lbs.', 'Operating Weight': '6,148 lbs.', 'Travel Speed': '7.3 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/track-loader-small-1700-lbs,903-0570,"Track Loader, Small, 1,700 lbs.",{'Model Number': 'T550'},"{'Manufacturer': 'Bobcat', 'Engine (Diesel)': '66 hp', 'Rated Operating Capacity (SAE)': '1,995 lbs.', 'Lift Path': 'Radius', 'Tipping Load': '5,700 lbs.', 'Operating Weight': '7,557 lbs.', 'Travel Speed': '7.3 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/track-loader-small-2000-2399-lbs,903-0580,"Track Loader, Small, 2,000-2,399 lbs.",{'Model Number': 'T590'},"{'Manufacturer': 'Bobcat', 'Engine (Diesel)': '66 hp', 'Rated Operating Capacity (SAE)': '2,100 lbs.', 'Lift Path': 'Vertical', 'Tipping Load': '6,000 lbs.', 'Operating Weight': '7,948 lbs.', 'Travel Speed': '7.3 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/track-loader-small-2400-2999-lbs,903-0585,"Track Loader, Small, 2,400-2,999 lbs.",{'Model Number': 'TL10V2'},"{'Manufacturer': 'Takeuchi', 'Engine (Diesel)': '74.3 hp', 'Rated Operating Capacity (SAE)': '2,522 lbs.', 'Lift Path': 'Vertical', 'Tipping Load': '7,205 lbs.', 'Operating Weight': '9,950 lbs.', 'Travel Speed': '7.0 mph'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/skid-steers-track-loaders/walk-behind-track-loader,903-0522,Walk-Behind Track Loader,{'Model Number': 'MT55'},"{'Manufacturer': 'Bobcat', 'Rated Capacity': '550 lbs.', 'Tip Capacity': '1,610 lbs.', 'Power': '25 hp', 'Hydraulic Capacity': '12 GPM', 'Travel Speed': '3.5 mph', 'Width': '35.6""', 'Dump Height': '48.7""', 'Operating Weight': '2,610 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/trenchers/walk-behind-trencher-11-15-hp,930-1101,"Walk-behind Trencher, 11-15 HP",{'Model Number': 'RTX100'},"{'Manufacturer': 'Vermeer', 'Trench Depth Max': '30""', 'Trench Width Max': '6""', 'Power': '13 hp', 'Weight': '910 lbs.', 'Dimensions': '81"" x 35"" x 46""'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/trenchers/walk-behind-trencher-48-18-27-hp,930-1230,"Walk-behind Trencher, 48 in., 18-27 HP",{'Model Number': 'RTX100'},"{'Manufacturer': 'Vermeer', 'Trench Depth Max': '30""', 'Trench Width Max': '6""', 'Power': '13 hp', 'Weight': '910 lbs.', 'Dimensions': '81"" x 35"" x 46""'}"
https://www.unitedrentals.com/marketplace/equipment/forklifts/reach-forklifts/telehandler-reach-forklift-30-ft-39-ft-6000-lbs,233-1160,"Telehandler Reach Forklift, 30 ft.-39 ft., 6,000 lbs.",{'Model Number': '6036'},"{'Manufacturer': 'SkyTrak', 'Max Capacity': '6,000 lbs.', 'Max Lift Height': '36\' 1""', 'Lift Cap Full Height': '6,000 lbs.', 'Max Forward Reach': '22\' 4""', 'Max Forward Lift': '1,800 lbs.', 'Frame Leveling': '10 deg. L/R', 'Engine (Diesel)': '74 hp', 'Outside Turn Radius': '13\' 9""', 'Operating Weight': '21,300 lbs.'}"
